policy,fp_target,recall_margin,fp_target_met,recall_margin_met
development_detector_plus_symbolic,0.2,0.01,True,False
development_detector_plus_symbolic,0.2,0.02,True,False
development_detector_plus_symbolic,0.2,0.05,True,False
development_detector_plus_symbolic,0.3,0.0,True,False
development_detector_plus_symbolic,0.3,0.001,True,False
development_detector_plus_symbolic,0.3,0.005,True,False
development_detector_plus_symbolic,0.3,0.01,True,False
development_detector_plus_symbolic,0.3,0.02,True,False
development_detector_plus_symbolic,0.3,0.05,True,False
development_detector_plus_symbolic,0.4,0.0,True,False
development_detector_plus_symbolic,0.4,0.001,True,False
development_detector_plus_symbolic,0.4,0.005,True,False
development_detector_plus_symbolic,0.4,0.01,True,False
development_detector_plus_symbolic,0.4,0.02,True,False
development_detector_plus_symbolic,0.4,0.05,True,False
development_detector_plus_symbolic,0.5,0.0,False,False
development_detector_plus_symbolic,0.5,0.001,False,False
development_detector_plus_symbolic,0.5,0.005,False,False
development_detector_plus_symbolic,0.5,0.01,False,False
development_detector_plus_symbolic,0.5,0.02,False,False
development_detector_plus_symbolic,0.5,0.05,False,False
